Ablation,MAE,Delta,MSE,MAPE
Baseline (C v2),1.687691436028464,0.0,,
A1,1.5833821071954508,-0.10430932883301325,5.164539747707072,88.98499959306525
A2,1.6334725101065082,-0.054218925921955874,6.095788671745628,78.35018687046814
A3,1.533800500809699,-0.15389093521876496,4.272359002921379,107.49274855776436
A4,1.8898742850529462,0.20218284902448214,6.494106720796939,114.95932854347606
A5,1.705878177453862,0.018186741425398,6.170251762910858,78.88072463828372
A6,1.846189865757012,0.15849842972854788,7.16228698365697,103.32535884418512
