Model,MAE,MSE,MAPE
Transformer A (Heston),1.5518780722187724,5.354542346426392,61.088930388881394
"Transformer B (GAN, RN)",2.148270751611055,8.78008317916504,83.86702513164953
Transformer C (Mixed+ATM),1.509714485425643,4.683542943946167,83.61813083478086
Black-Scholes,1.5152380472149385,6.674271325038517,53.51640993743364
