Ablation,MAE,Delta,MSE,MAPE
Baseline (C v2),1.687691436028464,0.0,,
B1,2.158374936569863,0.47068350054139874,7.5238289137174785,186.7009434856632
B2,1.5368664981923772,-0.15082493783608686,5.103092041075706,76.3979549187726
B3,1.6459661789694833,-0.04172525705898078,5.3014101769598305,98.63952200002959
B4,2.1588036531895027,0.4711122171610387,9.53579636275526,91.38911856394077
B5,1.6738080800168795,-0.013883356011584524,6.228981430398858,66.03858529038065
B6,2.1808693911502157,0.49317795512175167,8.290396470147078,171.77489402218256
