Ablation,MAE,Delta,MSE,MAPE
Baseline (C),10.593404424933892,0.0,,
A1,10.587185762589119,-0.006218662344773307,194.343402878662,236.7501449989944
A2,10.59331698253891,-8.744239498170714e-05,194.5733564346393,235.91673609566314
A3,10.59217513864045,-0.0012292862934426552,194.53142547724397,236.04292941429173
A4,10.589818045274495,-0.003586379659397565,194.44292696117128,236.39976130727712
A5,10.588104605513456,-0.005299819420436336,194.3765816611574,236.64468619357692
A6,10.585680961187055,-0.007723463746836856,194.28765006702443,236.94156745232357
